country,happiness_score,region,year,corruption_perceptionP1,freedomP1,gdp_per_capitaP1,generosityP1,happiness_scoreP1,life_expectancyP1,social_supportP1,corruption_perceptionP2,freedomP2,gdp_per_capitaP2,generosityP2,happiness_scoreP2,life_expectancyP2,social_supportP2,corruption_perceptionP3,freedomP3,gdp_per_capitaP3,generosityP3,happiness_scoreP3,life_expectancyP3,social_supportP3,Australia and New Zealand,Central and Eastern Europe,Eastern Asia,Latin America and Caribbean,Middle East and Northern Africa,North America,Southeastern Asia,Southern Asia,Sub-Saharan Africa,Western Europe
Luxembourg,82.57606490872213,Western Europe,2018,100.0,82.40716727399031,83.10799607793797,55.308785522356644,81.62271635043935,74.06568757073067,88.66080692504744,100.0,75.78729281767954,80.98854961832063,53.84960937499999,81.7849898580122,74.09465381244523,63.259732360097324,100.0,85.05939226519335,74.61402671755725,54.75390625000001,83.30628803245439,80.53812445223488,74.18673965936739,0,0,0,0,0,0,0,0,0,1
Ireland,83.93509127789048,Western Europe,2018,98.05194679244028,79.15888702013218,73.26844653100476,83.56607868336133,83.93509607527851,70.97130799690535,94.78291455846652,97.77323906644577,74.59668508287291,70.77337786259542,87.818359375,82.51521298174444,71.38913234005257,70.6551094890511,94.31959672394275,85.32734806629833,63.73854961832061,89.65039062500001,83.18458417849901,78.46888694127956,83.30170316301701,0,0,0,0,0,0,0,0,0,1
Belgium,82.92089249492902,Western Europe,2018,82.5927002801752,74.55396718083162,69.83686835711259,45.21549562923614,82.1906651928266,71.69955033779561,88.94846097106203,86.25233511514648,70.93093922651933,68.00524809160305,47.34375,82.96146044624747,71.83085013146362,64.02007299270072,74.06764833493605,80.73204419889504,62.39599236641221,43.45703125,83.1237322515213,78.5863277826468,78.20316301703163,0,0,0,0,0,0,0,0,0,1
United Arab Emirates,79.81744421906693,Middle East and Northern Africa,2018,100.0,84.02558980067127,77.59271800973042,70.4964739270508,77.26165848861602,63.6983555100865,77.03225252982176,100.0,77.64502762430939,75.07251908396947,51.93554687499999,75.74036511156186,63.972830850131466,52.9890510948905,100.0,88.61464088397787,68.0949427480916,51.61718750000001,82.39350912778905,70.92462751971955,68.47627737226277,0,0,0,0,1,0,0,0,0,0
United Kingdom,88.25557809330631,Western Europe,2018,87.22108549023224,70.19199389779102,68.7802452167481,96.24495287425819,78.60041024476956,70.5815897397468,91.02555232036435,90.03458281849659,69.11049723756906,66.92891221374046,97.9609375,78.82352941176471,70.98247151621385,66.1021897810219,100.0,82.3549723756906,60.41841603053435,100.0,81.70385395537527,79.70464504820333,78.19221411192213,0,0,0,0,0,0,0,0,0,1
Venezuela,39.89858012170386,Latin America and Caribbean,2018,21.192128732048573,21.27032088969958,53.83736645902385,12.699146464001386,48.90466531440162,54.08801288588018,87.06433059525303,27.28738916474308,27.412983425414357,54.087309160305345,8.30078125,65.82150101419877,54.25416301489921,62.83576642335766,36.37332739216536,59.26519337016573,49.8206106870229,11.408203125,80.54766734279919,63.14811568799297,76.39659367396592,0,0,0,1,0,0,0,0,0,0
Singapore,71.07505070993916,Southeastern Asia,2018,100.0,75.94483004090537,80.73843844974333,67.57148075848808,75.7200816775432,83.21581024751657,82.34880556445316,100.0,67.36187845303867,78.50906488549619,63.87890625,79.10750507099392,83.01402278702892,52.77250608272505,100.0,74.93370165745856,72.60782442748092,60.751953125,80.30425963488842,89.85539000876423,62.043795620437955,0,0,0,0,0,0,1,0,0,0
Panama,72.83975659229209,Latin America and Caribbean,2018,23.325697951048056,75.97055718385054,58.86204370105535,41.12440219614648,73.28600691975255,61.889231779615066,83.52752729634003,27.67842954415113,67.57872928176795,56.44370229007634,47.2265625,78.3367139959432,62.08150744960561,60.16545012165451,30.46171695052605,74.8756906077348,50.74093511450381,47.72265625,80.0608519269777,69.8168273444347,72.9014598540146,0,0,0,1,0,0,0,0,0,0
Germany,83.69168356997972,Western Europe,2018,90.93559838505642,77.69494260872264,70.98871105499856,65.67757227458067,83.40771224387525,70.02197473744987,89.56936444099209,93.82011657545515,73.84806629834254,69.07776717557252,59.47656249999999,84.27991886409735,71.41717791411044,66.77250608272504,71.77726896983178,84.91298342541434,63.354961832061065,55.10546875,79.33062880324545,78.16476774758982,79.03710462287104,0,0,0,0,0,0,0,0,0,1
Chile,73.77281947261662,Latin America and Caribbean,2018,27.040272053390346,52.057358935392955,59.770258100888356,63.80125414580099,77.34279818273713,71.82118351474128,78.1037076546326,37.62859987060127,52.19475138121547,58.048664122137396,61.708984375,78.41784989858012,71.76424189307625,55.101581508515814,42.28822388741313,60.955801104972366,52.82204198473283,65.16210937500001,77.7079107505071,75.24715162138476,68.39841849148418,0,0,0,1,0,0,0,0,0,0
