country,corruption_perception,freedom,gdp_per_capita,generosity,happiness_score,life_expectancy,social_support,year,happiness_scoreP1,Australia and New Zealand,Central and Eastern Europe,Eastern Asia,Latin America and Caribbean,Middle East and Northern Africa,North America,Southeastern Asia,Southern Asia,Sub-Saharan Africa,Western Europe
Burkina Faso,42.06148618842864,43.093922651933696,14.980916030534349,34.17968749999999,32.15010141987829,22.261174408413677,66.72749391727493,2018,24.198784276873226,0,0,0,0,0,0,0,0,1,0
Burundi,24.9740074243795,8.977900552486187,4.341603053435114,29.1015625,1.3387423935091245,12.70815074496056,38.138686131386855,2018,1.338741813179921,0,0,0,0,0,0,0,0,1,0
Cambodia,21.359348455061422,96.13259668508283,26.19274809160305,50.0,32.332657200811354,40.05258545135846,66.18004866180048,2018,26.957408138994737,0,0,0,0,0,0,1,0,0,0
Cameroon,14.130030516425245,62.70718232044198,25.52480916030534,35.7421875,43.326572008113594,15.950920245398773,54.197080291970785,2018,37.647062305504654,0,0,0,0,0,0,0,0,1,0
Canada,95.62416000650576,90.19337016574585,63.45419847328244,62.6953125,91.0547667342799,78.52760736196319,93.18734793187346,2018,90.81135871686024,0,0,0,0,0,1,0,0,0,0
Chad,19.716321650825925,26.104972375690604,17.080152671755723,35.35156250000001,29.65517241379311,4.645048203330412,55.17031630170316,2018,22.251523503425364,0,0,0,0,0,0,0,0,1,0
Chile,20.044927011673018,59.53038674033149,53.959923664122144,38.47656249999999,73.77281947261662,70.81507449605608,80.96107055961069,2018,77.34279818273713,0,0,0,1,0,0,0,0,0,0
China,33.84635216725117,82.4585635359116,47.185114503816784,5.664062499999999,48.82352941176472,70.02629272567923,69.46472019464721,2018,49.37119195717585,0,0,1,0,0,0,0,0,0,0
Colombia,12.815609073036851,73.34254143646406,45.80152671755725,19.3359375,69.39148073022312,55.652936021034186,87.53041362530412,2018,71.35902381571991,0,0,0,1,0,0,0,0,0,0
Congo (Brazzaville),25.302612785226607,70.99447513812154,32.5381679389313,17.7734375,34.88843813387425,30.061349693251532,49.330900243309,2018,29.45233041326126,0,0,0,0,0,0,0,0,1,0
Congo (Kinshasa),17.087478764049134,43.093922651933696,3.291984732824428,38.47656249999999,28.519269776876268,17.879053461875547,69.09975669099757,2018,29.229213180696767,0,0,0,0,0,0,0,0,1,0
